,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
26,International terrorism,9.0,Yes,1,1,1,1,1,centro-dx,Woman,35,BE - Belgium,Large town,21,The middle class of society,single
27,International terrorism,10.0,Yes,1,1,2,2,1,sx,Man,54,BE - Belgium,Large town,19,The lower middle class of society,single
28,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,3,1,centro,Woman,32,BE - Belgium,Small or middle sized town,18,The lower middle class of society,con patner e figli
29,The economic situation,5.0,No,3,2,2,2,2,centro,Man,35,BE - Belgium,Large town,24,The lower middle class of society,con patner e figli
30,Spread of infectious diseases,5.0,Yes,3,2,4,3,2,centro,Man,30,BE - Belgium,Large town,0,The working class of society,single
31,Climate change,10.0,Yes,2,2,1,1,1,centro,Man,77,BE - Belgium,Large town,30,The upper middle class of society,con patner
32,"Poverty, hunger and lack of drinking water",8.0,No,2,1,1,1,1,centro,Man,23,BE - Belgium,Large town,0,The lower middle class of society,con patner e figli
33,Climate change,9.0,No,2,2,1,1,1,centro-sx,Man,73,BE - Belgium,Large town,22,The lower middle class of society,con patner e figli
34,The economic situation,7.0,Yes,2,2,1,1,2,centro-dx,Man,50,BE - Belgium,Large town,21,The middle class of society,single
35,Climate change,10.0,Yes,1,1,1,1,1,centro,Man,56,BE - Belgium,Large town,19,The middle class of society,con patner
36,Climate change,10.0,No,1,1,1,1,1,centro-dx,Woman,26,BE - Belgium,Large town,23,The upper middle class of society,single
37,Climate change,10.0,Yes,1,1,1,2,1,centro,Man,45,BE - Belgium,Large town,22,The middle class of society,con patner e figli
38,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,centro,Man,24,BE - Belgium,Large town,0,The middle class of society,single
39,Proliferation of nuclear weapons,5.0,Yes,2,2,2,2,1,centro,Man,60,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
40,International terrorism,5.0,No,2,2,3,2,2,centro-dx,Woman,50,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
41,The economic situation,5.0,Yes,1,1,2,2,2,centro,Man,60,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
42,"Poverty, hunger and lack of drinking water",5.0,Yes,2,2,2,2,2,centro,Man,37,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
43,"Poverty, hunger and lack of drinking water",4.0,Yes,1,1,2,3,2,centro,Woman,32,BE - Belgium,Large town,8,The lower middle class of society,con patner e figli
44,The economic situation,5.0,Yes,1,1,2,2,2,centro,Man,60,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
45,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,2,2,2,centro,Man,55,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
46,The increasing global population,4.0,Yes,1,2,1,1,2,sx,Man,44,BE - Belgium,Large town,25,The middle class of society,single
47,The economic situation,5.0,Yes,1,1,2,1,1,centro,Man,35,BE - Belgium,Large town,18,The working class of society,con patner
48,"Poverty, hunger and lack of drinking water",1.0,Yes,1,1,4,2,1,centro-sx,Man,70,BE - Belgium,Large town,23,The middle class of society,con patner
49,"Poverty, hunger and lack of drinking water",8.0,Yes,1,4,1,1,1,sx,Man,41,BE - Belgium,Large town,32,The middle class of society,single
50,Armed conflicts,5.0,No,4,2,3,3,2,centro,Man,20,BE - Belgium,Large town,0,The middle class of society,single
51,Climate change,8.0,Yes,2,2,1,1,1,centro-sx,Man,18,BE - Belgium,Large town,0,The lower middle class of society,single
52,"Poverty, hunger and lack of drinking water",9.0,Yes,4,1,1,1,1,centro-sx,Man,62,BE - Belgium,Large town,58,The upper middle class of society,single
53,Spread of infectious diseases,4.0,No,2,2,2,1,1,centro,Woman,30,BE - Belgium,Large town,8,The lower middle class of society,single con figli
54,Climate change,5.0,Yes,2,2,2,1,1,centro,Man,25,BE - Belgium,Large town,0,The working class of society,single
55,The economic situation,6.0,Yes,2,2,2,3,2,centro,Man,55,BE - Belgium,Large town,dk,The middle class of society,con patner
56,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,2,2,centro-dx,Woman,30,BE - Belgium,Large town,10,The lower middle class of society,single con figli
57,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,1,centro,Man,35,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
58,International terrorism,1.0,No,2,3,2,2,2,sx,Woman,72,BE - Belgium,Large town,12,The lower middle class of society,con patner
59,"Poverty, hunger and lack of drinking water",3.0,Yes,4,2,2,1,2,centro-sx,Man,46,BE - Belgium,Large town,17,The working class of society,single
60,International terrorism,8.0,No,1,1,2,1,2,centro-sx,Woman,73,BE - Belgium,Large town,12,The working class of society,single
61,The increasing global population,10.0,Yes,2,2,1,1,2,centro-sx,Woman,49,BE - Belgium,Large town,23,The middle class of society,con patner e figli
62,"Poverty, hunger and lack of drinking water",7.0,Yes,1,1,1,1,2,centro-sx,Man,21,BE - Belgium,Large town,17,The middle class of society,single
63,"Poverty, hunger and lack of drinking water",5.0,No,1,1,1,1,4,centro,Man,68,BE - Belgium,Large town,16,The middle class of society,con patner
64,"Poverty, hunger and lack of drinking water",6.0,Yes,1,1,1,1,2,centro,Woman,56,BE - Belgium,Large town,21,The middle class of society,con patner e figli
65,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,1,1,centro,Woman,68,BE - Belgium,Large town,18,The middle class of society,single
66,"Poverty, hunger and lack of drinking water",9.0,Yes,3,3,1,1,1,centro-sx,Woman,16,BE - Belgium,Large town,0,The upper middle class of society,single
67,"Poverty, hunger and lack of drinking water",10.0,Yes,1,2,1,1,1,centro-sx,Woman,15,BE - Belgium,Large town,0,The middle class of society,single
68,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,1,sx,Woman,36,BE - Belgium,Large town,23,The middle class of society,con patner e figli
69,Armed conflicts,8.0,Yes,1,1,1,1,1,centro-dx,Woman,73,BE - Belgium,Large town,23,The lower middle class of society,single
70,Proliferation of nuclear weapons,8.0,Yes,2,2,1,1,2,centro,Woman,56,BE - Belgium,Large town,23,The middle class of society,con patner
71,Armed conflicts,7.0,Yes,2,1,2,2,2,centro,Man,58,BE - Belgium,Large town,20,The middle class of society,con patner
72,International terrorism,7.0,Yes,1,2,2,1,2,centro,Woman,33,BE - Belgium,Large town,19,The middle class of society,con patner
73,Proliferation of nuclear weapons,7.0,Yes,2,2,2,2,2,centro-dx,Man,45,BE - Belgium,Large town,20,The middle class of society,con patner
74,International terrorism,8.0,Yes,2,2,2,1,2,centro-sx,Woman,54,BE - Belgium,Large town,18,The working class of society,con patner
75,Proliferation of nuclear weapons,8.0,Yes,1,1,1,1,2,centro,Woman,40,BE - Belgium,Large town,18,The lower middle class of society,con patner e figli
76,Armed conflicts,8.0,Yes,2,1,2,1,2,centro-sx,Man,74,BE - Belgium,Large town,19,The middle class of society,single
77,International terrorism,4.0,No,2,2,2,2,2,centro,Man,45,BE - Belgium,Large town,dk,The lower middle class of society,con patner
78,"Poverty, hunger and lack of drinking water",3.0,No,3,3,2,2,2,centro,Woman,46,BE - Belgium,Large town,dk,The middle class of society,con patner e figli
79,The increasing global population,4.0,No,3,2,2,2,2,centro,Woman,35,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
80,"Poverty, hunger and lack of drinking water",5.0,No,2,2,2,2,2,centro,Woman,38,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
81,The economic situation,3.0,No,3,2,2,2,2,centro-sx,Man,50,BE - Belgium,Large town,dk,The working class of society,con patner e figli
82,Armed conflicts,3.0,No,2,3,3,3,3,centro-sx,Woman,36,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
83,The economic situation,4.0,No,2,3,4,2,3,centro,Man,56,BE - Belgium,Large town,dk,The working class of society,con patner e figli
84,International terrorism,4.0,No,3,3,3,3,2,centro,Woman,46,BE - Belgium,Large town,dk,The lower middle class of society,con patner e figli
85,Climate change,8.0,No,1,2,1,1,1,centro,Man,87,BE - Belgium,Small or middle sized town,22,The middle class of society,single
86,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Man,56,BE - Belgium,Large town,24,The middle class of society,con patner e figli
87,The increasing global population,8.0,No,3,2,1,1,1,centro-sx,Man,60,BE - Belgium,Large town,16,The lower middle class of society,single con figli
88,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,1,sx,Woman,31,BE - Belgium,Large town,18,The middle class of society,con patner
89,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,1,1,centro,Man,37,BE - Belgium,Small or middle sized town,19,The lower middle class of society,con patner e figli
90,Armed conflicts,8.0,No,1,1,1,2,2,centro-dx,Woman,65,BE - Belgium,Large town,20,The middle class of society,con patner
91,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,1,centro,Woman,59,BE - Belgium,Large town,18,The lower middle class of society,single
92,Armed conflicts,6.0,No,3,2,1,1,2,centro-dx,Man,74,BE - Belgium,Small or middle sized town,21,The upper middle class of society,con patner
93,Climate change,8.0,Yes,1,2,1,1,1,centro-sx,Man,65,BE - Belgium,Small or middle sized town,18,The upper middle class of society,con patner
94,International terrorism,5.0,No,2,2,2,2,1,dx,Man,20,BE - Belgium,Rural area or village,0,The middle class of society,single
95,Climate change,8.0,No,2,3,1,1,2,centro,Woman,18,BE - Belgium,Large town,0,The lower middle class of society,single
96,International terrorism,8.0,No,2,2,2,2,1,centro-dx,Man,68,BE - Belgium,Rural area or village,21,The upper middle class of society,single
97,Proliferation of nuclear weapons,7.0,Yes,3,3,1,1,2,centro,Man,80,BE - Belgium,Small or middle sized town,16,The middle class of society,single
98,Armed conflicts,7.0,No,2,3,2,3,2,centro-dx,Woman,69,BE - Belgium,Large town,20,The lower middle class of society,single
99,Climate change,9.0,No,1,1,1,1,1,centro-dx,Man,45,BE - Belgium,Small or middle sized town,20,The middle class of society,con patner
100,Climate change,9.0,Yes,1,2,1,2,2,centro,Man,63,BE - Belgium,Large town,21,The middle class of society,con patner
101,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,1,1,centro,Woman,55,BE - Belgium,Rural area or village,20,The middle class of society,single con figli
102,Armed conflicts,5.0,No,3,2,2,2,2,centro,Man,59,BE - Belgium,Small or middle sized town,14,The working class of society,con patner
103,The increasing global population,5.0,No,2,2,1,2,2,dx,Man,79,BE - Belgium,Small or middle sized town,17,The working class of society,single con figli
104,The increasing global population,9.0,No,2,2,1,3,2,centro,Man,60,BE - Belgium,Large town,19,The middle class of society,single
105,The increasing global population,7.0,Yes,1,4,1,1,1,centro,Woman,65,BE - Belgium,Large town,20,The upper middle class of society,con patner
106,Climate change,10.0,Yes,1,2,1,1,1,sx,Woman,46,BE - Belgium,Large town,24,The middle class of society,con patner e figli
107,The economic situation,10.0,Yes,1,1,1,1,1,centro,Man,39,BE - Belgium,Small or middle sized town,22,The lower middle class of society,single
108,"Poverty, hunger and lack of drinking water",7.0,No,3,2,2,2,2,sx,Man,56,BE - Belgium,Rural area or village,19,The middle class of society,con patner e figli
109,The increasing global population,10.0,Yes,1,1,1,1,1,dx,Woman,68,BE - Belgium,Large town,21,The lower middle class of society,con patner e figli
110,International terrorism,5.0,No,2,2,2,2,2,centro,Man,64,BE - Belgium,Large town,25,The working class of society,single
111,International terrorism,7.0,Yes,1,1,1,1,1,centro-dx,Woman,51,BE - Belgium,Small or middle sized town,21,The upper middle class of society,single
112,The increasing global population,6.0,No,2,2,2,2,1,centro-dx,Man,64,BE - Belgium,Rural area or village,23,The middle class of society,con patner
113,Climate change,10.0,No,1,3,1,1,2,centro-sx,Woman,58,BE - Belgium,Small or middle sized town,21,The lower middle class of society,single con figli
114,Armed conflicts,6.0,No,1,2,2,2,1,centro,Man,19,BE - Belgium,Large town,0,The middle class of society,single con figli
115,The increasing global population,7.0,Yes,3,3,1,2,1,centro-sx,Man,58,BE - Belgium,Small or middle sized town,19,The working class of society,single
116,Climate change,10.0,Yes,1,2,1,1,1,sx,Woman,31,BE - Belgium,Large town,21,The upper middle class of society,single
117,"Poverty, hunger and lack of drinking water",8.0,Yes,3,2,2,2,2,centro,Man,48,BE - Belgium,Rural area or village,24,The lower middle class of society,con patner e figli
118,Armed conflicts,5.0,Yes,3,3,2,2,2,centro,Man,42,BE - Belgium,Large town,40,The upper middle class of society,con patner e figli
119,Proliferation of nuclear weapons,10.0,Yes,1,1,2,1,1,centro-sx,Man,15,BE - Belgium,Large town,0,The middle class of society,con patner e figli
120,International terrorism,8.0,No,2,2,2,2,2,centro,Woman,63,BE - Belgium,Small or middle sized town,18,The working class of society,single
121,International terrorism,10.0,No,1,1,2,1,1,centro,Woman,67,BE - Belgium,Large town,18,The working class of society,single
122,The economic situation,3.0,No,2,3,2,4,3,centro,Woman,52,BE - Belgium,Large town,18,The working class of society,single
123,The increasing global population,7.0,No,1,3,1,3,1,centro-dx,Man,54,BE - Belgium,Large town,23,The middle class of society,single
124,The increasing global population,8.0,No,1,2,3,2,1,centro-dx,Man,33,BE - Belgium,Small or middle sized town,24,The middle class of society,con patner
125,"Poverty, hunger and lack of drinking water",9.0,Yes,2,3,1,1,1,centro,Woman,72,BE - Belgium,Rural area or village,18,The middle class of society,single
126,The increasing global population,6.0,No,3,2,1,2,2,centro,Woman,63,BE - Belgium,Large town,19,The lower middle class of society,single con figli
127,The increasing global population,10.0,Yes,2,4,1,1,1,centro-sx,Woman,36,BE - Belgium,Large town,24,The middle class of society,con patner e figli
128,Climate change,10.0,Yes,2,4,1,1,1,centro,Woman,56,BE - Belgium,Large town,18,The middle class of society,single con figli
129,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,1,2,sx,Woman,43,BE - Belgium,Large town,24,The lower middle class of society,con patner e figli
130,The increasing global population,10.0,No,2,2,1,1,1,centro,Man,67,BE - Belgium,Large town,15,The middle class of society,single
131,"Poverty, hunger and lack of drinking water",10.0,Yes,1,4,1,1,1,sx,Man,17,BE - Belgium,Large town,0,The middle class of society,single
132,Proliferation of nuclear weapons,3.0,Yes,1,1,1,1,1,centro-sx,Woman,75,BE - Belgium,Large town,18,The middle class of society,single
133,"Poverty, hunger and lack of drinking water",7.0,Yes,1,3,1,1,1,centro-sx,Man,27,BE - Belgium,Large town,22,The middle class of society,single
134,Climate change,10.0,No,2,3,1,1,1,sx,Man,39,BE - Belgium,Large town,21,The middle class of society,con patner
135,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,2,2,centro,Woman,34,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
136,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,2,1,centro-sx,Man,59,BE - Belgium,Large town,21,The lower middle class of society,con patner
137,The increasing global population,7.0,Yes,1,2,1,1,2,centro,Man,63,BE - Belgium,Large town,18,The lower middle class of society,con patner
138,The economic situation,8.0,No,2,1,1,1,1,centro,Woman,47,BE - Belgium,Small or middle sized town,18,The lower middle class of society,single con figli
139,"Poverty, hunger and lack of drinking water",8.0,Yes,1,2,1,1,1,centro-sx,Man,45,BE - Belgium,Large town,21,The middle class of society,con patner e figli
140,"Poverty, hunger and lack of drinking water",8.0,No,1,1,1,1,1,centro,Woman,63,BE - Belgium,Large town,Refusal,The lower middle class of society,con patner
141,The economic situation,9.0,No,2,3,1,1,2,centro-dx,Woman,68,BE - Belgium,Large town,19,The middle class of society,single con figli
142,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,2,2,2,centro,Man,59,BE - Belgium,Rural area or village,18,The middle class of society,con patner
143,"Poverty, hunger and lack of drinking water",10.0,Yes,2,1,1,1,1,centro,Man,65,BE - Belgium,Rural area or village,25,The upper middle class of society,con patner
144,International terrorism,6.0,Yes,4,1,1,1,1,non-posizionabile,Woman,77,BE - Belgium,Rural area or village,21,The middle class of society,single
145,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,1,2,1,centro-sx,Man,66,BE - Belgium,Rural area or village,22,The middle class of society,con patner
146,"Poverty, hunger and lack of drinking water",10.0,Yes,3,1,1,1,1,centro,Woman,78,BE - Belgium,Rural area or village,25,The working class of society,con patner e figli
147,The increasing global population,10.0,Yes,1,3,1,1,2,centro-dx,Man,28,BE - Belgium,Large town,23,The upper middle class of society,single
148,Climate change,8.0,Yes,1,1,1,1,1,centro,Man,25,BE - Belgium,Large town,0,The middle class of society,single
149,Climate change,10.0,Yes,2,1,1,1,2,centro-sx,Woman,22,BE - Belgium,Small or middle sized town,0,The middle class of society,single
150,Climate change,10.0,Yes,2,4,1,1,1,centro-sx,Woman,62,BE - Belgium,Small or middle sized town,19,The lower middle class of society,single
151,Climate change,10.0,Yes,2,1,1,1,1,centro,Man,48,BE - Belgium,Large town,23,The middle class of society,con patner e figli
152,"Poverty, hunger and lack of drinking water",8.0,No,2,1,1,1,1,non-posizionabile,Woman,69,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
153,Climate change,8.0,Yes,1,1,1,1,1,centro,Woman,73,BE - Belgium,Large town,20,The middle class of society,single
154,International terrorism,7.0,Yes,1,1,1,1,1,centro,Man,46,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner e figli
155,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,1,2,centro-sx,Man,28,BE - Belgium,Small or middle sized town,24,The middle class of society,con patner
156,The increasing global population,3.0,No,3,2,1,2,1,centro-dx,Man,37,BE - Belgium,Small or middle sized town,20,The lower middle class of society,con patner e figli
157,Climate change,8.0,Yes,2,2,1,1,1,centro,Man,48,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner e figli
158,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,2,1,centro-sx,Man,67,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner
159,"Poverty, hunger and lack of drinking water",9.0,No,2,2,2,2,1,centro,Man,39,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner
160,The increasing global population,8.0,Yes,3,3,1,1,2,centro-dx,Man,53,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
161,Armed conflicts,8.0,Yes,1,1,1,1,2,centro,Woman,41,BE - Belgium,Small or middle sized town,41,The middle class of society,con patner e figli
162,The increasing global population,10.0,Yes,1,1,1,1,1,centro-dx,Man,52,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
163,The increasing global population,7.0,Yes,2,3,1,2,1,centro,Woman,68,BE - Belgium,Small or middle sized town,20,The middle class of society,single
164,International terrorism,10.0,No,2,2,1,1,1,centro-sx,Woman,63,BE - Belgium,Small or middle sized town,15,The lower middle class of society,con patner
165,"Poverty, hunger and lack of drinking water",9.0,Yes,2,2,1,1,1,sx,Man,24,BE - Belgium,Large town,22,The middle class of society,Other (SPONT.)
166,Climate change,10.0,No,1,1,1,2,3,centro-sx,Man,18,BE - Belgium,Large town,0,The middle class of society,single
167,"Poverty, hunger and lack of drinking water",8.0,No,2,1,2,2,2,centro,Man,34,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner e figli
168,The increasing global population,8.0,No,2,2,1,1,1,centro-dx,Man,52,BE - Belgium,Small or middle sized town,22,The middle class of society,single con figli
169,The economic situation,6.0,No,3,1,1,1,1,non-posizionabile,Man,22,BE - Belgium,Rural area or village,0,The middle class of society,con patner
170,Armed conflicts,7.0,No,2,2,1,1,1,centro,Man,39,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
171,The economic situation,7.0,No,2,2,1,1,1,centro,Woman,42,BE - Belgium,Rural area or village,23,The middle class of society,con patner e figli
172,International terrorism,8.0,Yes,2,1,1,1,1,centro,Woman,43,BE - Belgium,Rural area or village,21,The middle class of society,con patner
173,International terrorism,7.0,No,2,2,1,2,2,centro,Man,40,BE - Belgium,Small or middle sized town,20,The lower middle class of society,single con figli
174,The economic situation,4.0,No,2,1,1,1,1,centro-sx,Man,63,BE - Belgium,Small or middle sized town,20,The middle class of society,con patner
175,Proliferation of nuclear weapons,6.0,No,2,1,1,3,1,centro,Woman,70,BE - Belgium,Rural area or village,18,The middle class of society,con patner
176,The economic situation,6.0,Yes,2,1,1,1,2,non-posizionabile,Woman,52,BE - Belgium,Rural area or village,18,The middle class of society,con patner e figli
177,Spread of infectious diseases,6.0,No,2,2,2,1,2,centro,Woman,78,BE - Belgium,Rural area or village,16,The working class of society,con patner
178,Armed conflicts,10.0,Yes,1,1,1,1,1,centro,Woman,44,BE - Belgium,Rural area or village,20,The middle class of society,con patner e figli
179,The increasing global population,10.0,No,2,2,1,1,1,centro,Man,56,BE - Belgium,Rural area or village,18,The middle class of society,single
180,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,2,2,1,centro-sx,Woman,59,BE - Belgium,Rural area or village,25,The middle class of society,con patner
181,"Poverty, hunger and lack of drinking water",9.0,Yes,1,1,1,2,1,centro-sx,Woman,69,BE - Belgium,Rural area or village,16,The middle class of society,con patner
182,The economic situation,9.0,Yes,1,2,1,1,1,centro-dx,Woman,37,BE - Belgium,Rural area or village,21,The middle class of society,con patner e figli
183,Armed conflicts,9.0,Yes,2,2,1,1,1,centro-sx,Woman,32,BE - Belgium,Rural area or village,22,The middle class of society,con patner
184,The increasing global population,7.0,Yes,2,1,1,1,2,centro-dx,Man,82,BE - Belgium,Rural area or village,14,The middle class of society,con patner
185,"Poverty, hunger and lack of drinking water",8.0,Yes,3,2,1,2,1,centro,Man,70,BE - Belgium,Rural area or village,18,The middle class of society,con patner
186,Climate change,8.0,Yes,2,2,1,2,1,centro-dx,Man,66,BE - Belgium,Rural area or village,23,The middle class of society,con patner
187,"Poverty, hunger and lack of drinking water",8.0,Yes,1,1,1,1,2,centro,Man,43,BE - Belgium,Rural area or village,19,The lower middle class of society,single
188,Other (SPONTANEOUS),2.0,No,2,2,2,2,2,non-posizionabile,Woman,64,BE - Belgium,Small or middle sized town,16,The middle class of society,single con figli
189,The increasing global population,8.0,Yes,2,4,2,1,1,centro-dx,Woman,42,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
190,"Poverty, hunger and lack of drinking water",10.0,Yes,2,2,1,2,1,centro,Man,63,BE - Belgium,Rural area or village,18,The middle class of society,con patner
191,The economic situation,5.0,No,2,2,2,2,2,centro,Man,20,BE - Belgium,Rural area or village,0,The upper middle class of society,con patner e figli
192,Climate change,5.0,No,1,1,2,1,2,centro,Woman,79,BE - Belgium,Rural area or village,18,The middle class of society,single
193,Armed conflicts,5.0,No,1,1,2,1,1,centro,Woman,38,BE - Belgium,Rural area or village,18,The lower middle class of society,single
194,"Poverty, hunger and lack of drinking water",8.0,No,2,1,2,2,2,centro,Woman,64,BE - Belgium,Rural area or village,14,The working class of society,single
195,"Poverty, hunger and lack of drinking water",8.0,No,1,1,1,1,1,centro-sx,Man,28,BE - Belgium,Rural area or village,18,The lower middle class of society,single
196,"Poverty, hunger and lack of drinking water",9.0,Yes,2,1,1,2,1,centro,Man,63,BE - Belgium,Rural area or village,20,The working class of society,con patner e figli
197,Climate change,8.0,Yes,2,3,1,1,1,centro,Woman,38,BE - Belgium,Rural area or village,22,The middle class of society,con patner e figli
198,International terrorism,7.0,No,3,2,1,2,2,centro,Woman,58,BE - Belgium,Rural area or village,18,The lower middle class of society,con patner e figli
199,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,centro,Woman,64,BE - Belgium,Rural area or village,21,The middle class of society,con patner
200,Climate change,8.0,No,1,1,2,2,2,centro,Man,55,BE - Belgium,Rural area or village,23,The middle class of society,con patner e figli
201,International terrorism,6.0,Yes,2,2,2,2,2,centro,Woman,78,BE - Belgium,Rural area or village,14,The working class of society,con patner
202,"Poverty, hunger and lack of drinking water",10.0,No,1,1,1,1,1,centro,Man,71,BE - Belgium,Rural area or village,19,The middle class of society,con patner
203,The increasing global population,9.0,Yes,1,1,1,1,1,centro,Man,23,BE - Belgium,Rural area or village,21,The middle class of society,con patner
204,"Poverty, hunger and lack of drinking water",5.0,No,3,2,2,2,2,centro-dx,Woman,19,BE - Belgium,Rural area or village,0,The middle class of society,Other (SPONT.)
205,Proliferation of nuclear weapons,6.0,No,2,4,1,1,2,centro,Man,56,BE - Belgium,Rural area or village,22,The middle class of society,single
